sample_number,year,date_egg,region,island,stage,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g
101,2009,2009/11/09,Anvers,Biscoe,"Adult, 1 Egg Stage",35,17.9,191.8,3724.9
102,2009,2009/11/09,Anvers,Biscoe,"Adult, 1 Egg Stage",41,20,203.5,4725.1
103,2009,2009/11/15,Anvers,Biscoe,"Adult, 1 Egg Stage",37.7,16,183.1,3075.1
104,2009,2009/11/15,Anvers,Biscoe,"Adult, 1 Egg Stage",37.8,20,190,4250.1
105,2009,2009/11/15,Anvers,Biscoe,"Adult, 1 Egg Stage",37.9,18.6,193.1,2924.6
106,2009,2009/11/15,Anvers,Biscoe,"Adult, 1 Egg Stage",39.7,18.9,183.8,3549.9
107,2009,2009/11/15,Anvers,Biscoe,"Adult, 1 Egg Stage",38.6,17.2,199.1,3749.8
108,2009,2009/11/15,Anvers,Biscoe,"Adult, 1 Egg Stage",38.2,20,189.9,3899.9
109,2009,2009/11/20,Anvers,Biscoe,"Adult, 1 Egg Stage",38.1,17,180.6,3174.7
110,2009,2009/11/20,Anvers,Biscoe,"Adult, 1 Egg Stage",43.2,19,197.2,4774.7
111,2009,2009/11/12,Anvers,Biscoe,"Adult, 1 Egg Stage",38.1,16.5,198,3825.3
112,2009,2009/11/12,Anvers,Biscoe,"Adult, 1 Egg Stage",45.6,20.3,191.2,4599.9
113,2009,2009/11/15,Anvers,Biscoe,"Adult, 1 Egg Stage",39.7,17.7,193,3199.8
114,2009,2009/11/15,Anvers,Biscoe,"Adult, 1 Egg Stage",42.2,19.5,197.4,4274.7
115,2009,2009/11/17,Anvers,Biscoe,"Adult, 1 Egg Stage",39.6,20.7,191.1,3899.9
116,2009,2009/11/17,Anvers,Biscoe,"Adult, 1 Egg Stage",42.7,18.3,196,4074.8
117,2009,2009/11/18,Anvers,Torgersen,"Adult, 1 Egg Stage",38.6,17,187.7,2900
118,2009,2009/11/18,Anvers,Torgersen,"Adult, 1 Egg Stage",37.3,20.5,198.8,3774.9
119,2009,2009/11/22,Anvers,Torgersen,"Adult, 1 Egg Stage",35.7,17,189.3,3350.1
120,2009,2009/11/22,Anvers,Torgersen,"Adult, 1 Egg Stage",41.1,18.6,188.6,3324.9
121,2009,2009/11/17,Anvers,Torgersen,"Adult, 1 Egg Stage",36.2,17.2,187.1,3150
122,2009,2009/11/17,Anvers,Torgersen,"Adult, 1 Egg Stage",37.7,19.8,197.8,3499.7
123,2009,2009/11/16,Anvers,Torgersen,"Adult, 1 Egg Stage",40.2,17,175.9,3449.7
124,2009,2009/11/16,Anvers,Torgersen,"Adult, 1 Egg Stage",41.4,18.5,201.7,3875.3
125,2009,2009/11/18,Anvers,Torgersen,"Adult, 1 Egg Stage",35.2,15.9,186.1,3050
126,2009,2009/11/18,Anvers,Torgersen,"Adult, 1 Egg Stage",40.6,19,198.9,3999.8
